File Version,Hardware Type,Model,Data Logger Name,Serial Number,Sample Rate,Total Alarms
1,3,EL-SIE-2+,UM_WG,24de6b085df773dd,600,2,

Channel Number,Channel Name,Channel Type
1,Temperature,1
2,Humidity,2
3,Dew Point,4

Channel Number,Channel Name,Alarm Type,High Threshold,Low Threshold,Delay,Hold
1,Temperature,High Alarm,70.00,,0,0
1,Temperature,Low Alarm,,64.00,0,0

Reading,Date / Time (UTC),Channel 1 (°F),Channel 2 (%RH),Channel 3 (°F),
360,2022/06/13 03:55:36,70.63,35.9,42.30,
361,2022/06/13 04:05:36,70.63,36.0,42.38,
362,2022/06/13 04:15:36,70.58,35.9,42.26,
363,2022/06/13 04:25:36,70.53,36.0,42.30,
364,2022/06/13 04:35:36,70.53,36.0,42.30,
365,2022/06/13 04:45:36,70.53,36.0,42.30,
366,2022/06/13 04:55:36,70.48,36.0,42.25,
367,2022/06/13 05:05:36,70.53,36.0,42.30,
368,2022/06/13 05:15:36,70.56,35.9,42.24,
369,2022/06/13 05:25:36,70.56,35.9,42.24,
370,2022/06/13 05:35:36,70.56,35.9,42.24,
371,2022/06/13 05:45:36,70.63,35.9,42.30,
372,2022/06/13 05:55:36,70.68,35.9,42.35,
373,2022/06/13 06:05:36,70.73,35.8,42.33,
374,2022/06/13 06:15:36,70.73,35.9,42.40,
375,2022/06/13 06:25:36,70.78,35.8,42.36,
376,2022/06/13 06:35:36,70.78,35.8,42.36,
377,2022/06/13 06:45:36,70.89,35.8,42.47,
378,2022/06/13 06:55:36,70.89,35.8,42.47,
379,2022/06/13 07:05:36,70.91,35.8,42.48,
380,2022/06/13 07:15:36,70.91,35.8,42.48,
381,2022/06/13 07:25:36,70.91,35.8,42.48,
382,2022/06/13 07:35:36,70.97,35.8,42.53,
383,2022/06/13 07:45:36,70.99,35.8,42.55,
384,2022/06/13 07:55:36,71.07,35.7,42.56,
385,2022/06/13 08:05:36,70.99,35.8,42.55,
386,2022/06/13 08:15:36,71.02,35.7,42.51,
387,2022/06/13 08:25:36,70.97,35.7,42.46,
388,2022/06/13 08:35:36,70.99,35.7,42.48,
389,2022/06/13 08:45:36,71.02,35.7,42.51,
390,2022/06/13 08:55:36,71.04,35.7,42.52,
391,2022/06/13 09:05:36,71.07,35.7,42.56,
392,2022/06/13 09:15:36,71.02,35.7,42.51,
393,2022/06/13 09:25:36,71.07,35.7,42.56,
394,2022/06/13 09:35:36,70.97,35.7,42.46,
395,2022/06/13 09:45:36,70.99,35.7,42.48,
396,2022/06/13 09:55:36,70.94,35.7,42.43,
397,2022/06/13 10:05:36,70.99,35.7,42.48,
398,2022/06/13 10:15:36,70.97,35.7,42.46,
399,2022/06/13 10:25:36,70.91,35.7,42.41,
400,2022/06/13 10:35:36,70.84,35.7,42.35,
401,2022/06/13 10:45:36,70.87,35.7,42.36,
402,2022/06/13 10:55:36,70.89,35.7,42.40,
403,2022/06/13 11:05:36,70.81,35.7,42.32,
404,2022/06/13 11:15:36,70.84,35.7,42.35,
405,2022/06/13 11:25:36,70.78,35.7,42.29,
406,2022/06/13 11:35:36,70.76,35.7,42.27,
407,2022/06/13 11:45:36,70.73,35.8,42.33,
408,2022/06/13 11:55:36,70.71,35.7,42.24,
409,2022/06/13 12:05:36,70.71,35.8,42.31,
410,2022/06/13 12:15:36,70.66,35.8,42.26,
411,2022/06/13 12:25:36,70.66,35.8,42.26,
412,2022/06/13 12:35:36,70.58,35.8,42.18,
413,2022/06/13 12:45:36,70.56,35.8,42.17,
414,2022/06/13 12:55:36,70.53,35.8,42.15,
415,2022/06/13 13:05:36,70.53,35.8,42.15,
416,2022/06/13 13:15:36,70.48,35.8,42.10,
417,2022/06/13 13:25:36,70.48,35.8,42.10,
418,2022/06/13 13:35:36,70.53,35.8,42.15,
419,2022/06/13 13:45:36,70.56,35.8,42.17,
420,2022/06/13 13:55:36,70.61,35.8,42.22,
421,2022/06/13 14:05:36,70.61,35.8,42.22,
422,2022/06/13 14:15:36,70.73,35.8,42.33,
423,2022/06/13 14:25:36,70.91,35.7,42.41,
424,2022/06/13 14:35:36,71.09,35.7,42.57,
425,2022/06/13 14:45:36,71.27,35.6,42.66,
426,2022/06/13 14:55:36,71.32,35.6,42.69,
427,2022/06/13 15:05:36,71.27,35.5,42.58,
428,2022/06/13 15:15:36,71.27,35.6,42.66,
429,2022/06/13 15:25:36,71.29,35.5,42.60,
430,2022/06/13 15:35:36,71.39,35.5,42.68,
431,2022/06/13 15:45:36,71.39,35.4,42.61,
432,2022/06/13 15:55:36,71.37,35.5,42.66,
433,2022/06/13 16:05:36,71.47,35.5,42.76,
434,2022/06/13 16:15:36,71.57,35.4,42.77,
435,2022/06/13 16:25:36,71.67,35.4,42.86,
436,2022/06/13 16:35:36,71.76,35.4,42.94,
437,2022/06/13 16:45:36,72.06,37.1,44.44,
438,2022/06/13 16:55:36,72.88,35.3,43.85,
439,2022/06/13 17:05:36,72.75,35.4,43.81,
440,2022/06/13 17:15:36,72.70,35.5,43.84,
441,2022/06/13 17:25:36,72.67,35.6,43.88,
442,2022/06/13 17:35:36,72.70,35.6,43.91,
443,2022/06/13 17:45:36,72.70,35.6,43.91,
444,2022/06/13 17:55:36,72.67,35.7,43.96,
445,2022/06/13 18:05:36,72.62,35.8,44.00,
446,2022/06/13 18:15:36,72.52,35.8,43.90,
447,2022/06/13 18:25:36,72.49,36.0,44.02,
448,2022/06/13 18:35:36,72.47,36.1,44.07,
449,2022/06/13 18:45:36,72.42,36.2,44.11,
450,2022/06/13 18:55:36,72.34,36.3,44.11,
451,2022/06/13 19:05:36,72.27,36.3,44.04,
452,2022/06/13 19:15:36,72.24,36.4,44.10,
453,2022/06/13 19:25:36,72.14,36.4,44.00,
454,2022/06/13 19:35:36,72.11,36.3,43.90,
